date,price,day,day_of_week,month,lag_1,lag_2,lag_3,lag_7
2026-04-26 19:00:43.789,78274.34065021528,22,6,4,78034.51980737594,77985.65557780031,78050.75607592058,78110.88161863454
2026-04-26 20:00:25.299,78240.93686631313,22,6,4,78274.34065021528,78034.51980737594,77985.65557780031,77838.15248676843
2026-04-26 21:00:56.720,78229.8417681944,22,6,4,78240.93686631313,78274.34065021528,78034.51980737594,77940.84317164119
2026-04-26 22:00:03.843,78407.16125498862,22,6,4,78229.8417681944,78240.93686631313,78274.34065021528,78104.22069639667
2026-04-26 23:00:20.641,78378.05061328351,22,6,4,78407.16125498862,78229.8417681944,78240.93686631313,78050.75607592058
2026-04-27 00:00:27.238,78645.12560170851,22,0,4,78378.05061328351,78407.16125498862,78229.8417681944,77985.65557780031
2026-04-27 01:00:49.775,79260.26248669959,22,0,4,78645.12560170851,78378.05061328351,78407.16125498862,78034.51980737594
2026-04-27 02:00:24.503,79217.03669448356,22,0,4,79260.26248669959,78645.12560170851,78378.05061328351,78274.34065021528
2026-04-27 03:00:12.333,79161.16903469128,22,0,4,79217.03669448356,79260.26248669959,78645.12560170851,78240.93686631313
2026-04-27 04:01:00.515,79096.32338375495,22,0,4,79161.16903469128,79217.03669448356,79260.26248669959,78229.8417681944
2026-04-27 05:00:08.318,78918.2674998158,22,0,4,79096.32338375495,79161.16903469128,79217.03669448356,78407.16125498862
2026-04-27 06:00:33.628,77819.8190965596,22,0,4,78918.2674998158,79096.32338375495,79161.16903469128,78378.05061328351
2026-04-27 07:00:11.988,77728.11296302704,22,0,4,77819.8190965596,78918.2674998158,79096.32338375495,78645.12560170851
2026-04-27 08:00:35.326,77653.42820403715,22,0,4,77728.11296302704,77819.8190965596,78918.2674998158,79260.26248669959
2026-04-27 09:00:23.824,77801.48133620767,22,0,4,77653.42820403715,77728.11296302704,77819.8190965596,79217.03669448356
2026-04-27 10:00:09.832,77918.22130374532,22,0,4,77801.48133620767,77653.42820403715,77728.11296302704,79161.16903469128
2026-04-27 11:00:48.733,77858.06178429707,22,0,4,77918.22130374532,77801.48133620767,77653.42820403715,79096.32338375495
2026-04-27 12:00:58.779,77839.13057125034,22,0,4,77858.06178429707,77918.22130374532,77801.48133620767,78918.2674998158
2026-04-27 13:00:32.811,77636.7357570139,22,0,4,77839.13057125034,77858.06178429707,77918.22130374532,77819.8190965596
2026-04-27 14:00:20.954,77767.52764704514,22,0,4,77636.7357570139,77839.13057125034,77858.06178429707,77728.11296302704
2026-04-27 15:01:05.894,77816.0572264602,22,0,4,77767.52764704514,77636.7357570139,77839.13057125034,77653.42820403715
2026-04-27 16:00:13.302,76772.56122738226,23,0,4,77816.0572264602,77767.52764704514,77636.7357570139,77801.48133620767
2026-04-27 17:00:12.461,76597.37629170864,23,0,4,76772.56122738226,77816.0572264602,77767.52764704514,77918.22130374532
2026-04-27 18:00:51.604,76701.61237959677,23,0,4,76597.37629170864,76772.56122738226,77816.0572264602,77858.06178429707
2026-04-27 19:00:56.805,76840.12034837836,23,0,4,76701.61237959677,76597.37629170864,76772.56122738226,77839.13057125034
2026-04-27 20:00:31.438,76829.48158520267,23,0,4,76840.12034837836,76701.61237959677,76597.37629170864,77636.7357570139
2026-04-27 21:00:48.838,76986.58306724002,23,0,4,76829.48158520267,76840.12034837836,76701.61237959677,77767.52764704514
2026-04-27 22:00:46.196,76798.22801186582,23,0,4,76986.58306724002,76829.48158520267,76840.12034837836,77816.0572264602
2026-04-27 23:00:43.889,77068.29246494433,23,0,4,76798.22801186582,76986.58306724002,76829.48158520267,76772.56122738226
2026-04-28 00:00:41.441,77361.29911038803,23,1,4,77068.29246494433,76798.22801186582,76986.58306724002,76597.37629170864
2026-04-28 01:00:46.510,77383.54057877463,23,1,4,77361.29911038803,77068.29246494433,76798.22801186582,76701.61237959677
2026-04-28 02:00:04.023,77090.31107128707,23,1,4,77383.54057877463,77361.29911038803,77068.29246494433,76840.12034837836
2026-04-28 03:00:56.701,76833.05668971647,23,1,4,77090.31107128707,77383.54057877463,77361.29911038803,76829.48158520267
2026-04-28 04:00:24.854,76804.77382356762,23,1,4,76833.05668971647,77090.31107128707,77383.54057877463,76986.58306724002
2026-04-28 05:00:48.493,76884.15413049556,23,1,4,76804.77382356762,76833.05668971647,77090.31107128707,76798.22801186582
2026-04-28 06:00:41.954,76948.09017415001,23,1,4,76884.15413049556,76804.77382356762,76833.05668971647,77068.29246494433
2026-04-28 07:00:28.376,76711.2208351938,23,1,4,76948.09017415001,76884.15413049556,76804.77382356762,77361.29911038803
2026-04-28 08:00:39.870,76871.94798938799,23,1,4,76711.2208351938,76948.09017415001,76884.15413049556,77383.54057877463
2026-04-28 09:00:57.917,76823.96703050246,23,1,4,76871.94798938799,76711.2208351938,76948.09017415001,77090.31107128707
2026-04-28 10:00:32.750,76582.2382436488,23,1,4,76823.96703050246,76871.94798938799,76711.2208351938,76833.05668971647
2026-04-28 11:01:17.572,76587.46607990249,23,1,4,76582.2382436488,76823.96703050246,76871.94798938799,76804.77382356762
2026-04-28 12:00:41.615,76182.61040738711,23,1,4,76587.46607990249,76582.2382436488,76823.96703050246,76884.15413049556
2026-04-28 13:00:51.576,76342.5588428331,23,1,4,76182.61040738711,76587.46607990249,76582.2382436488,76948.09017415001
2026-04-28 14:00:39.320,76180.39793452619,23,1,4,76342.5588428331,76182.61040738711,76587.46607990249,76711.2208351938
2026-04-28 15:01:03.316,75849.31178726906,23,1,4,76180.39793452619,76342.5588428331,76182.61040738711,76871.94798938799
2026-04-28 16:00:56.195,76040.86480284185,24,1,4,75849.31178726906,76180.39793452619,76342.5588428331,76823.96703050246
2026-04-28 17:00:34.217,76108.79943793108,24,1,4,76040.86480284185,75849.31178726906,76180.39793452619,76582.2382436488
2026-04-28 18:00:53.791,76174.499991253,24,1,4,76108.79943793108,76040.86480284185,75849.31178726906,76587.46607990249
2026-04-28 19:01:16.832,76223.05617004436,24,1,4,76174.499991253,76108.79943793108,76040.86480284185,76182.61040738711
2026-04-28 20:01:16.570,76340.1341246333,24,1,4,76223.05617004436,76174.499991253,76108.79943793108,76342.5588428331
2026-04-28 21:01:16.527,76445.86122627115,24,1,4,76340.1341246333,76223.05617004436,76174.499991253,76180.39793452619
2026-04-28 22:01:17.983,76353.70892706158,24,1,4,76445.86122627115,76340.1341246333,76223.05617004436,75849.31178726906
2026-04-28 23:01:15.820,76229.4038502392,24,1,4,76353.70892706158,76445.86122627115,76340.1341246333,76040.86480284185
2026-04-29 00:01:19.320,76345.22521002527,24,2,4,76229.4038502392,76353.70892706158,76445.86122627115,76108.79943793108
2026-04-29 01:01:17.903,76505.05470800745,24,2,4,76345.22521002527,76229.4038502392,76353.70892706158,76174.499991253
2026-04-29 02:00:56.205,76537.83594119303,24,2,4,76505.05470800745,76345.22521002527,76229.4038502392,76223.05617004436
2026-04-29 03:01:07.974,76478.80195313173,24,2,4,76537.83594119303,76505.05470800745,76345.22521002527,76340.1341246333
2026-04-29 04:00:22.141,76961.46963288501,24,2,4,76478.80195313173,76537.83594119303,76505.05470800745,76445.86122627115
2026-04-29 05:00:02.625,77289.79308700348,24,2,4,76961.46963288501,76478.80195313173,76537.83594119303,76353.70892706158
2026-04-29 06:00:38.633,77258.63042398472,24,2,4,77289.79308700348,76961.46963288501,76478.80195313173,76229.4038502392
2026-04-29 07:00:31.012,76964.99741594712,24,2,4,77258.63042398472,77289.79308700348,76961.46963288501,76345.22521002527
2026-04-29 08:00:11.567,77023.71023600476,24,2,4,76964.99741594712,77258.63042398472,77289.79308700348,76505.05470800745
2026-04-29 09:00:59.060,77028.46347185198,24,2,4,77023.71023600476,76964.99741594712,77258.63042398472,76537.83594119303
2026-04-29 10:01:13.258,77629.86690905425,24,2,4,77028.46347185198,77023.71023600476,76964.99741594712,76478.80195313173
2026-04-29 11:01:09.390,77596.56363815261,24,2,4,77629.86690905425,77028.46347185198,77023.71023600476,76961.46963288501
2026-04-29 12:00:54.224,77579.59487006326,24,2,4,77596.56363815261,77629.86690905425,77028.46347185198,77289.79308700348
2026-04-29 13:00:38.082,77127.99638212805,24,2,4,77579.59487006326,77596.56363815261,77629.86690905425,77258.63042398472
2026-04-29 14:01:02.001,76776.12526378022,24,2,4,77127.99638212805,77579.59487006326,77596.56363815261,76964.99741594712
2026-04-29 15:00:43.812,76558.49021649477,24,2,4,76776.12526378022,77127.99638212805,77579.59487006326,77023.71023600476
2026-04-29 16:01:01.713,75858.12862387307,25,2,4,76558.49021649477,76776.12526378022,77127.99638212805,77028.46347185198
2026-04-29 17:00:54.287,75763.67004036404,25,2,4,75858.12862387307,76558.49021649477,76776.12526378022,77629.86690905425
2026-04-29 18:00:28.569,75996.93512732009,25,2,4,75763.67004036404,75858.12862387307,76558.49021649477,77596.56363815261
2026-04-29 19:00:55.543,75436.56581067356,25,2,4,75996.93512732009,75763.67004036404,75858.12862387307,77579.59487006326
2026-04-29 20:00:47.135,75468.90041834336,25,2,4,75436.56581067356,75996.93512732009,75763.67004036404,77127.99638212805
2026-04-29 21:00:09.185,75701.80458172278,25,2,4,75468.90041834336,75436.56581067356,75996.93512732009,76776.12526378022
2026-04-29 22:00:34.074,75924.91798195371,25,2,4,75701.80458172278,75468.90041834336,75436.56581067356,76558.49021649477
2026-04-29 23:00:40.535,75907.29950981027,25,2,4,75924.91798195371,75701.80458172278,75468.90041834336,75858.12862387307
2026-04-30 00:00:46.340,75774.8855230121,25,3,4,75907.29950981027,75924.91798195371,75701.80458172278,75763.67004036404
2026-04-30 01:00:21.235,76255.01364165342,25,3,4,75774.8855230121,75907.29950981027,75924.91798195371,75996.93512732009
2026-04-30 02:00:24.298,76220.83380666314,25,3,4,76255.01364165342,75774.8855230121,75907.29950981027,75436.56581067356
2026-04-30 03:00:17.943,75691.65564515392,25,3,4,76220.83380666314,76255.01364165342,75774.8855230121,75468.90041834336
2026-04-30 04:00:41.929,75909.7088552133,25,3,4,75691.65564515392,76220.83380666314,76255.01364165342,75701.80458172278
2026-04-30 05:00:38.275,75459.6526551717,25,3,4,75909.7088552133,75691.65564515392,76220.83380666314,75924.91798195371
2026-04-30 06:00:38.043,75580.06196734082,25,3,4,75459.6526551717,75909.7088552133,75691.65564515392,75907.29950981027
2026-04-30 07:00:51.783,75713.26283708648,25,3,4,75580.06196734082,75459.6526551717,75909.7088552133,75774.8855230121
2026-04-30 08:00:59.565,76085.14106760567,25,3,4,75713.26283708648,75580.06196734082,75459.6526551717,76255.01364165342
2026-04-30 09:00:34.276,76026.7764354485,25,3,4,76085.14106760567,75713.26283708648,75580.06196734082,76220.83380666314
